,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
509673,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,975,8/12/2016,8.7,The Student Hotel Amsterdam City, Brazil , The hotel is in a good neighborhood but it takes a 30 min walk to downtown or 3 subway stops What is also not a problem in Amsterdam ,30,7656, Modern hotel with friendly and helpful staff good breakfast and clean rooms The hotel provides a lot of activities for tourists if you wish ,26,7,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",356 day,52.3546649,4.9131641
37446,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,41,7/28/2017,8.7,Le Relais Madeleine, Germany , Nothing ,3,479, Everything quiet and well located hotel with nicely decorated and spacious rooms enjoyable breakfast with fresh juice friendly staff ,21,1,9.6,"[' Business trip ', ' Solo traveler ', ' Comfort Double or Twin Room ', ' Stayed 1 night ']",6 days,48.870961,2.3267678
344844,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,843,8/21/2015,7.8,Hilton London Kensington Hotel, United Kingdom , 3rd stay Booked executive room but it was just a standard room with Colour on the wall Too small bed not so comfy and creak a lot ,29,3801, Location and staff,4,1,7.5,"[' Leisure trip ', ' Group ', ' Double Hilton Guestroom ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",713 day,51.5051084,-0.213266
258099,9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,392,5/31/2017,8.6,Radisson Blu Edwardian Bloomsbury Street, United Kingdom , Coffee and tea at breakfast were only warm,9,1641, Friendly and unobtrusive staff Hotel is perfect for theatre land and Oxford St shopping Hotel very clean and comfortable ,21,1,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",64 days,51.517608,-0.1276253
337298,Half Moon Street Westminster Borough London W1J 7BN United Kingdom,254,8/2/2017,7.3,Hilton London Green Park, United Kingdom , Hotel is looking tired as compared to a few years ago If you have a room at the front of the hotel it is extremely noise at night We hardly got any sleep Would be nice for the hotel to offer hot chocolate as well as tea and coffee in the rooms ,54,1139, Location was good Very central to attractions ,9,1,4.6,"[' Leisure trip ', ' Group ', ' Twin Hilton Deluxe Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5064534,-0.1456146
259888,9 rue frochot 9th arr 75009 Paris France,28,7/27/2016,9.0,Le Pigalle Hotel, Luxembourg ,No Negative,0,171, Everything was perfect staff room Breakfast ,8,18,10.0,"[' Leisure trip ', ' Solo traveler ', ' Bunk Bed in Twin Room Pigalle 12 ', ' Stayed 1 night ']",372 day,48.8816073,2.3371648
105233,21 rue de Dunkerque 10th arr 75010 Paris France,740,11/8/2016,7.4,Mercure Paris Terminus Nord, United Kingdom , Bathroom tired black mould on tiles,7,5575,No Positive,0,3,9.6,"[' Leisure trip ', ' Couple ', ' Standard Room with 1 Double Bed ', ' Stayed 2 nights ']",268 day,48.8794843,2.3556545
361549,Lakeside Way Brent London HA9 0BU United Kingdom,1427,9/19/2016,8.8,Hilton London Wembley, Lithuania , Family rooms from 551 to 565 or so has internal view to the wall Should be same on 6th floor ,22,4305, Perfect location right in front Wembley stadium next door to SSE arena and within 7 8min walking to Wembley Park underground station ,24,2,8.8,"[' Family with young children ', ' Family Room with King Bed ', ' Stayed 3 nights ']",318 day,51.5576962,-0.2835263
237451,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,6/20/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom , The lifts are a pain ,7,7491, Clean and quiet,4,3,7.9,"[' Leisure trip ', ' Group ', ' Queen Room Mobility Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",44 days,51.5108412,-0.0780581
72739,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,468,10/6/2015,7.7,Park Avenue Baker Street, United Kingdom , Reception got us Taxi ripped off by private taxi not black cab ,14,1913, Rooms nice clean and comfy ,7,1,9.2,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",667 day,51.5241452,-0.1609907
199785,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,484,1/7/2016,8.7,Hilton London Tower Bridge, United Kingdom ,No Negative,0,1705, The restaurant was excellent as was the service,9,1,8.8,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",574 day,51.504575,-0.082675
514842,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,5/16/2016,7.8,Holiday Inn London Kensington, United Kingdom , Toilet area too narrow ,6,5945, Bar lounge areas comfortable and relaxing after a busy day ,12,3,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",444 day,51.499981,-0.1928791
495260,Viale Fulvio Testi 300 Bicocca Zara 20126 Milan Italy,108,1/3/2016,8.5,Starhotels Tourist, Malta , nothing ,3,2135, tutto specialmente la palestra,5,6,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 3 nights ']",578 day,45.5266395,9.2131549
494935,Viale Certosa 104 106 Certosa 20156 Milan Italy,48,11/19/2015,8.5,Best Western Hotel Mirage, Turkey , Windows don t block the noise from the street ,11,785, Breakfast was good well maintained and clean ,9,8,8.3,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ']",623 day,45.4947129,9.1418864
301567,Coram Street Camden London WC1N 1HT United Kingdom,709,3/9/2017,8.2,Holiday Inn London Bloomsbury, United Kingdom , Rooms very small particularly bathroom and external noise from air conditioning ventilation ,14,2995, Very helpful and friendly staff,6,2,7.9,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",147 day,51.5241248,-0.1258066
157989,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,73,9/27/2016,6.6,Best Western Maitrise Hotel Edgware Road, Germany , Mandatory security deposit Room a bit small for 4 star rating Otherwise all good ,16,461,No Positive,0,6,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",310 day,51.521148,-0.171346
390551,One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,694,11/26/2016,8.7,Aloft London Excel, United Kingdom , No minibar in room Some staff were nice others miserable hotel is just a bit soulless ,18,2332, Stayed in Kingsize room good size confortable bed ,10,4,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",250 day,51.5083719,0.0355768
113200,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,5/29/2017,7.5,Hilton London Metropole, United States of America , Trouble with toilet running water,6,6977, The location to public transportation The buffet breakfast The kindness and customer service of staff Cleaniness,17,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Family Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",66 days,51.5195688,-0.170521
481566,Via Manin 7 Milan City Center 20121 Milan Italy,175,6/5/2016,8.4,Hotel Manin, Germany ,No Negative,0,1757, Nice hotel in a good location We could reach all our targets while walking or using the great Milano tram ,22,1,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room with Park View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",424 day,45.4739801,9.1960671
266321,Aldwych Westminster Borough London WC2B 4DD United Kingdom,409,7/12/2017,8.4,The Waldorf Hilton, United Kingdom , Very minor the bin in our bathroom contained the previous guest s rubbish Quickly rectified ,17,1479, Full marks for the doormen and the staff in the exec lounge for their treatment of our seven year old grand daughter Swimming pool a bonus ,28,3,9.2,"[' Leisure trip ', ' Family with young children ', ' Executive King Room with Lounge Access ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",22 days,51.5131979,-0.1174504
72066,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,274,5/3/2016,8.6,Novotel London Greenwich, United Kingdom , Some of the bathrooms need updating,7,924, Hotel staff location breakfast ,6,2,7.9,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",457 day,51.4778583,-0.0137463
256745,86 Rue Saint Denis 1st arr 75001 Paris France,18,2/22/2017,9.0,Snob Hotel by Elegancia, Israel ,No Negative,0,246, Perfect location at the 1st quarter Clean and quiet Nice breakfast good WiFi Helpful staff,16,3,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Street View ', ' Stayed 4 nights ']",162 day,48.8622723,2.3495707
51054,142 Minories City of London London EC3N 1LS United Kingdom,189,5/8/2017,9.2,Hotel Indigo London Tower Hill, United Kingdom , None,2,781, Quirky modern and clean rooms Great location ,9,25,9.6,"[' Business trip ', ' Family with young children ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",87 days,51.5128032,-0.07586
384746,Neubaug rtel 26 28 07 Neubau 1070 Vienna Austria,108,1/11/2016,8.5,Fleming s Conference Hotel Wien, Egypt ,No Negative,0,2080, The breakfast buffet was varied the cleanliness of the rooms location,12,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Comfort Double Room ', ' Stayed 6 nights ']",570 day,48.1995177,16.3388225
194980,49 Avenue Marceau 16th arr 75116 Paris France,112,8/21/2016,8.2,Suites H tel Helzear Champs Elys es, Kuwait , No amenities in the bathroom,6,965, Staff at the reception were good and friendly especially Hamza was so helpful Location of the hotel is good,20,14,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe One Bedroom Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",347 day,48.8691399,2.2981024
27136,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,3/12/2017,8.4,The Grosvenor, Switzerland , Dirty cover on bed and brown stained bath tap,10,3274, Location,2,12,5.4,"[' Business trip ', ' Group ', ' Standard Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",144 day,51.4956657,-0.1452793
507281,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,6/21/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom ,No Negative,0,12158, Everything was perfect The staff think of everything I will be coming back ,15,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 1 night ']",408 day,51.5009609,-0.1165913
276035,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,396,3/6/2017,8.3,Barcelona Princess, Germany , AC was not working properly room was very hot Toilet door cannot be fully closed 1cm gap is always there The furniture was chipped on many spots ,29,4293,No Positive,0,3,4.2,"[' Business trip ', ' Group ', ' Double or Twin Room with Sea View ', ' Stayed 2 nights ']",150 day,41.4109715,2.2186535
133594,3 avenue Mac Mahon 17th arr 75017 Paris France,117,4/3/2016,8.4,Maison Albar H tel Paris Champs Elys es ex Mac Mahon , United Kingdom ,No Negative,0,774, The staff were so friendly and when we rang the front desk for extra coffee pods and bathroom bits they were more than happy to help Super big extremely comfortable bed Lovely room ,35,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",487 day,48.8753837,2.2944651
269450,Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands,520,9/24/2016,7.8,Hampshire Hotel Rembrandt Square Amsterdam, Poland , Glass doors to bathroom A little bit too dark in the bathroom it would be good to have light near the mirror ,24,2591, Comfortable beds Quiet room Great location,7,41,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",313 day,52.3663466,4.8985764
282802,Balmes 117 Eixample 08008 Barcelona Spain,244,1/10/2017,9.3,Olivia Balmes Hotel, Romania ,No Negative,0,1835, Good location next to bus and metro stations 20 min walk from Pla a de Catalunya Good breakfast Daily cleaning Comfortable and clean room Friendly staff Good value for money,31,25,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 6 nights ']",205 day,41.392095,2.158493
304579,Corso Garibaldi 84 Milan City Center 20121 Milan Italy,176,10/13/2015,8.2,Carlyle Brera Hotel, United States of America ,No Negative,0,1969, Excellent breakfast place to hang clothes drawers for small items Good location with shops and a variety of eating places nearby ,23,3,10.0,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 3 nights ']",660 day,45.4769923,9.1844899
423896,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,258,4/8/2016,7.4,Catalonia Park Putxet, United Kingdom ,No Negative,0,3590, great location beatiful views Staff really helpful and fluent in several languages recomended,14,2,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ']",482 day,41.4072812,2.1443116
454562,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,974,5/13/2016,9.0,Hilton London Canary Wharf, United Kingdom , Our booking have been muddled so we didn t get the rooms we were supposed to have but were then upgraded Had to go to reception 3 times before the manager came with us to open the door ,40,3040, Lovely sized room and good facilities The breakfast was excellent ,12,1,7.9,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 1 night ']",447 day,51.5007324,-0.01655
54879,15 Rue Boissy d Anglas 8th arr 75008 Paris France,91,2/10/2017,8.5,Sofitel Paris Le Faubourg, Hong Kong , Room rather small,4,564, Front desk staff helpful and good location for shopping ,11,35,6.3,"[' Business trip ', ' Family with young children ', ' Superior Room ', ' Stayed 3 nights ']",174 day,48.868414,2.3213247
41348,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,398,6/3/2016,7.9,Ambassadors Bloomsbury, Australia , double room was tiny ,6,1521, Proximity to major train stations,6,3,4.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",426 day,51.5266618,-0.1296571
145549,31 35 Langham Street Westminster Borough London W1W 6BU United Kingdom,146,3/14/2017,7.9,Grange Langham Court Hotel, United Kingdom , The welcome was okay The room was very very small for two single beds we could hardly move around them There was only one bedside table positioned between the two beds with very little space to put two cups and saucers two glasses and personal bits and pieces The unusual hot drinks cupboard meant if you hadn t got all of the items you need to make the drink out of the drawer underneath it meant removing the kettle and closing it up again to access the contents The bathroom door was too small I guess 2 6 and hit against a floor stop when you opened it making it a squeeze to get passed the protruding towel ring without either bruising your hip on the door handle or your thigh on the towel ring It is probably the smallest ensuite I have experienced There was a number of lights on the TV a box above it and the phone that lit up the small room and made it difficult to get to sleep Reading other reviews I think we were possibly given the worst room in the hotel ,191,754, The ideal location Looked perfect for my needs on the website ,13,9,5.8,"[' Leisure trip ', ' Family with young children ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",142 day,51.5189077,-0.1421957
301494,Coram Street Camden London WC1N 1HT United Kingdom,709,5/14/2017,8.2,Holiday Inn London Bloomsbury, United Kingdom , They descale their kettles but never cleaned them out we made are drinks which was disgusting ,18,2995, Close to the Tube station ,7,1,9.0,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",81 days,51.5241248,-0.1258066
382591,Muntaner 212 Eixample 08036 Barcelona Spain,79,5/26/2016,8.1,Guitart Grand Passage, Finland , At the breakfast they only had this coffee machine with one choice of coffee A selection of special coffees maybe lattes or cappuccinos would be nice ,28,867, This hotel s location is right on point The area is in a walking distance from La Ramblas but it s also a peaceful block filled with cute restaurants and caf s We were sent to another hotel for the first night but upgraded to a suite for the rest of our stay That was great Breakfast was good and the lady working at the breakfast room was the sweetest She even remembered my wish for a hot milk every morning ,83,3,10.0,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",434 day,41.3936071,2.1504611
152956,335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,3/30/2016,9.0,The Westbridge Hotel, Germany , It was lovely to have new bedding but the pillows were a bit hard Could you offer a softer grade And the toilet brush holder in our bathroom had some rather dubious looking liquid in the bottom ,39,1200, Very welcoming reception staff We were upgraded so although we couldn t sit out on our balcony due to awful weather we had wonderful views I never thought that if like plastic greenery but it was a really clever way to disguise concrete walls on the first floor ,50,9,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",491 day,51.5373904,-0.0023367
337201,Half Moon Street Westminster Borough London W1J 7BH United Kingdom,289,4/23/2017,8.7,Flemings Mayfair, Monaco , Room slightly on the small side but overall good value for money for this part of London,18,1161, Convenient for my business needs Great shower in bathroom ,11,15,7.5,"[' Business trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",102 day,51.5064607,-0.1454198
228751,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,531,11/9/2016,9.0,The Piccadilly London West End, Czech Republic , Had to request a feather pillow as don t come as standard,13,2298, Fantastic location great staff Comfortable bed and good size room for the location ,15,12,9.2,"[' Business trip ', ' Solo traveler ', ' Premier Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",267 day,51.5121957,-0.1318384
73480,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,431,1/28/2016,8.7,Malmaison London, United Kingdom , Shower head loose the pillows covers had holes in which my wife pointed out bathroom door wouldn t close properly could of down with a touch of paint above air con unit little things which count for a lot when its classed as a very modern and uperclass hotel ,51,1374, Nice a peaceful very chilled and not like an oven like a lot of places ,17,1,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",553 day,51.520943,-0.1004581
134804,3 Devonshire Terrace Westminster Borough London W2 3DN United Kingdom,128,11/11/2016,7.9,Paddington Court Executive Rooms, Hong Kong , The room was a bit tiny but that happened to all hotel rooms in London,16,681, Pretty convenient to Paddington Station and New Castle Station and close to Hyde Park,15,3,8.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 2 nights ']",265 day,51.5138357,-0.1797976
294683,Carburton Street Westminster Borough London W1W 5EE United Kingdom,542,6/9/2016,8.2,Holiday Inn London Regent s Park, United Kingdom , The room 509 backed onto the lift shaft the headboard was against that wall consequently we heard the clunking of the lift all night very unpleasant Avoid this room ,31,2266, Black out curtains No traffic noise ,8,26,6.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",420 day,51.5222472,-0.1426128
301879,Coram Street Camden London WC1N 1HT United Kingdom,709,5/3/2016,8.2,Holiday Inn London Bloomsbury, United Kingdom ,No Negative,0,2995, Room was good It breakfast over priced,8,1,7.1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",457 day,51.5241248,-0.1258066
396296,Parkring 12 01 Innere Stadt 1010 Vienna Austria,251,3/3/2016,9.0,Hotel Am Parkring, United Kingdom , The weather ,4,2304, Great location and views over south Vienna near Stadparkt and Wien Mitte railway station for connection from airport only 25mins 4 40 euros and less than 10mins walk We upgraded to an enormous suite because only the suites with balconies have baths Other rooms with balconies though only a shower must also have stunning views over the city Friendly staff ,62,35,10.0,"[' Leisure trip ', ' Couple ', ' Double Room with Balcony ', ' Stayed 5 nights ']",518 day,48.2056333,16.3778615
109905,22 Park Lane Westminster Borough London W1K 1BE United Kingdom,296,11/24/2016,7.8,London Hilton on Park Lane, Qatar , the staff were rude,5,943,No Positive,0,3,4.2,"[' Leisure trip ', ' Solo traveler ', ' Twin Guestroom ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",252 day,51.5055513,-0.1501698
204216,50 Berners Street Westminster Borough London W1T 3NG United Kingdom,260,9/10/2015,9.0,Sanderson A Morgans Hotel, Brazil , The daily already had been paid and even so they required a bail over full amount of the daily ,21,886, Close Oxford St The room is comfortable bed is suitable shower works offering warming Water Tv offers many channels Suitable reception Good bar ,25,7,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",693 day,51.5174853,-0.1372109
19054,10 Godliman Street City of London London EC4V 5AJ United Kingdom,788,2/26/2017,8.5,Grange St Paul s Hotel, United Kingdom , Serious swimmers not using swimming lanes in pool and being discourteous to majority wishing to use leisure lanes Room refreshments tray no longer has quality biscuits Cheap Costa Coffee coffee biscuits which don t go nicely with English tea ,41,2635, Facilities as usual excellent ,6,2,8.3,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",158 day,51.5127625,-0.0997157
263357,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,854,12/22/2016,7.8,Holiday Inn London Kensington Forum, United Kingdom ,No Negative,0,3867, The breakfast was great The room was good ,10,1,9.2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room Non Smoking ', ' Stayed 1 night ']",224 day,51.4942305,-0.1851141
274207,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,612,8/20/2016,8.6,Urban Lodge Hotel, United Kingdom , It wasn t within walking distance of the centre but easy by bike or train,16,5018, Good sized family room with double bed and bunk beds Clean and modern design and d cor Very friendly and helpful receptionists ,24,9,8.8,"[' Leisure trip ', ' Family with older children ', ' Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",348 day,52.3856494,4.834443
330001,Gran Via 559 Eixample 08012 Barcelona Spain,73,6/9/2016,8.6,H10 Casanova, United Kingdom , No chair or tea and coffee facilities in the room,11,641, Roof top bar and reception staff,7,1,7.1,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",420 day,41.3842608,2.1609471
182212,40 trinity square City of London London EC3N 4DJ United Kingdom,832,7/28/2016,9.1,citizenM Tower of London, Turkey , Breakfast,2,4672, very modern,3,1,9.2,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",371 day,51.510237,-0.0764428
435097,Rossell 390 Eixample 08025 Barcelona Spain,215,6/26/2016,8.7,Ayre Hotel Rosell n, United Kingdom , Breakfast service seemed a little unorganised ,8,2359, The reception staff were a credit to the hotel chain and an excellent representation of the hotel itself Tasteful comfortable rooms The roof terrace was a peaceful haven beautifully furnished and offering spectacular views of the Sagrada Familia In an area away from the hustle and bustle of the centre of Barcelona but within very close proximity of the Metro and bus stops Safe underground parking a bonus ,70,1,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']",403 day,41.4047382,2.1727127
120462,24 Ludgate Hill City of London London EC4M 7DR United Kingdom,918,7/12/2016,8.4,Club Quarters Hotel St Paul s, Canada , We were on different floors as a family,9,4117, The front desk service,5,2,8.3,"[' Leisure trip ', ' Family with older children ', ' Superior Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",387 day,51.5139298,-0.101126
269072,Am Stadtpark 1 03 Landstra e 1030 Vienna Austria,374,12/7/2015,8.0,Hilton Vienna, Turkey , Hilton Honors was not recognised Expensive for the level of accommodation Air conditioning did not work in the room would not heat very bad,25,3078,No Positive,0,1,5.0,"[' Leisure trip ', ' Couple ', ' King Cathedral View Room ', ' Stayed 3 nights ']",605 day,48.2062268,16.3833767
178384,4 Rue La Boetie 8th arr 75008 Paris France,81,1/28/2017,8.7,Hotel Park Lane Paris, United Kingdom ,No Negative,0,824, Great place to stay Excellent location Friendly and helpful staff I loved the balcony in my room ,19,5,10.0,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']",187 day,48.8745879,2.3188143
198851,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,620,4/12/2016,9.0,Radisson Blu Edwardian New Providence Wharf, United Kingdom , Price of hotel Price Of breakfast,7,1974, Friendly staff happy to do anything,7,1,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",478 day,51.5065578,-0.004514
72587,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,468,1/28/2016,7.7,Park Avenue Baker Street, United Kingdom , Light on the smoke alarm was v bright Leaving the room with a green glow for the entire night which was frustrating Also our room on the ground floor appeared to be next to a staff only door Staff came and went all night with the banging of the door waking us up more than once Shower basin was blocked so couldn t showier for more than a minute without it filling up,74,1913, Cosy room selection of cold drinks in the room Good wifi Very comfortable bed Great location ,18,2,7.5,"[' Business trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",553 day,51.5241452,-0.1609907
313151,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,309,1/6/2017,8.1,Bilderberg Garden Hotel, , It s overpriced and not worthy of 5 stars The rooms and elevators are old The wifi is a total zero Not to mention the shock of witnessing the sight of an exhibitionist man on the first floor He got removed luckily and the hotel is not to blame for crazy people ,54,2270, Breakfast and attitude of the personnel were very good Nice car service ,14,1,6.3,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",209 day,52.3511447,4.8740764
292942,Calabria 90 92 Eixample 08015 Barcelona Spain,185,9/27/2015,8.8,TWO Hotel Barcelona by Axel 4 Sup Adults Only, Israel , Uncomfort bed and pillows I could not catch a dissent sleep nice design but not practical ,18,2336, Friendly staff ,4,6,6.3,"[' Leisure trip ', ' Group ', ' Double or Twin Ground Floor ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",676 day,41.37913,2.1561186
115926,23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,11/7/2016,7.0,Henry VIII, United Kingdom , It was a twin bed pushed together oh and the bathroom bin was not emptied ,17,2937,No Positive,0,1,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",269 day,51.5124655,-0.182274
333598,Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,9/6/2015,7.5,The Cumberland A Guoman Hotel, United Arab Emirates , WiFi is slow and needs to be reconnected all the time The hotel was always very crowded It s a bit expensive for the value provided ,28,5180, Location is excellent The hotel is located above Marble Arch metro station and on the far end of Oxford Street ,22,19,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",697 day,51.514879,-0.1606501
424422,Rambla Catalunya 7 9 Eixample 08007 Barcelona Spain,252,9/17/2015,9.2,H10 Metropolitan 4 Sup, Hong Kong ,No Negative,0,1834, Very comfortable bed nespresso machine Great amenities kit toiletries Modern decor and excellent buffet breakfast with eggs cooked to your liking Very central to everything metro Las Rambles bus tours tec,32,12,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Terrace ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",686 day,41.3875467,2.1673975
322525,Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,7/24/2016,8.4,DoubleTree By Hilton London Excel, United Kingdom ,No Negative,0,2726, Room looked recently decorated,5,10,9.2,"[' Business trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ']",375 day,51.507377,0.038657
198310,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,620,2/14/2016,9.0,Radisson Blu Edwardian New Providence Wharf, United Kingdom , On arrival and being booked in receptionist was a bit too scripted relax and smile a little please it is not a sprint Other wise a job well done Thank you,32,1974, Enjoyed my breakfast and the varied selection of options available Well presented and hot cooked breakfast Bella ,19,1,9.6,"[' Leisure trip ', ' Solo traveler ', ' Superior King or Twin Room ', ' Stayed 1 night ']",536 day,51.5065578,-0.004514
